date,datetime,channel,house_number,promo_title,observed_effectiveness_score,best_possible_score,uplift_if_optimised,should_move,recommended_position,recommended_offset_minutes,advice_text
2018-07-18,2018-07-18 06:00:00,Viasat History CEE,IWHIS132,Animated Ident 1 - Napoleon HD cutdown 10,40.83,38.23,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 06:46:09,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 06:46:09,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,36.76,35.24,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 06:46:10,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,28.42,29.95,1.53,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 06:46:25,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,40.47,38.23,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 06:46:55,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,38.09,38.23,0.14,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 06:47:25,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,41.53,38.23,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 06:47:55,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,37.83,38.23,0.4,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 06:48:05,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,32.87,35.24,2.37,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:04:33,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:04:33,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,35.29,33.64,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:04:34,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,28.09,28.35,0.26,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:04:49,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,34.88,36.63,1.75,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:05:19,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,37.46,36.63,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:05:49,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,32.0,36.63,4.63,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:06:19,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,30.37,36.63,6.26,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:06:29,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,35.74,33.64,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:22:21,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:22:21,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,28.55,32.04,3.49,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:22:22,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,27.62,26.75,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:22:37,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,34.12,35.03,0.91,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:23:07,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,32.03,35.03,3.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:23:37,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,23.79,35.03,11.24,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-18,2018-07-18 07:24:07,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,34.89,35.03,0.14,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 07:24:17,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,31.82,32.04,0.22,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:00:48,Viasat History CEE,,Promotion,,,,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:00:48,Viasat History CEE,VWOPOUT,EXPHIS/EVENT BLACK OPT-OUT,21.75,30.44,8.69,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-18,2018-07-18 08:00:49,Viasat History CEE,VW02684,Annihilation: The Destruction - Tonight @ 2250,27.92,25.15,0.0,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:01:04,Viasat History CEE,VW02733,Alexander's Lost World - Tue @ 2100,28.9,33.43,4.53,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:01:34,Viasat History CEE,VW02730,Queen Victoria's Letters: A Monarch - Thurs @ 2150,30.21,33.43,3.22,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:02:04,Viasat History CEE,VW02717,Europe's Last Warrior Kings - Wed @ 2100,25.35,33.43,8.08,1,move_to_early_prime,30,Placement likely underperforms; move closer to programme lead-in or break start.
2018-07-18,2018-07-18 08:02:34,Viasat History CEE,IWHIS134,Animated Ident 2 - Pushkin HD cutdown 10,27.93,33.43,5.5,0,keep,0,Current placement is acceptable relative to contextual signals.
2018-07-18,2018-07-18 08:02:44,Viasat History CEE,VWOPIN,EXPHIS/EVENT BLACK OPT-IN,26.43,30.44,4.01,0,keep,0,Current placement is acceptable relative to contextual signals.
