date,datetime,channel,promo_title,recommended_position,recommended_offset_minutes,uplift_if_optimised,observed_effectiveness_score,best_possible_score,slm_scheduler_output
2018-07-18,2018-07-18 06:00:00,Viasat History CEE,IWHIS132,keep,0,0.0,40.83,38.23,Keep 'IWHIS132' as scheduled at 06:00. Current placement is acceptable. Estimated effectiveness 40.8/100.
2018-07-18,2018-07-18 06:46:09,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-18,2018-07-18 06:46:09,Viasat History CEE,VWOPOUT,keep,0,0.0,36.76,35.24,Keep 'VWOPOUT' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness 36.8/100.
2018-07-18,2018-07-18 06:46:10,Viasat History CEE,VW02684,keep,0,1.53,28.42,29.95,Keep 'VW02684' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness 28.4/100.
2018-07-18,2018-07-18 06:46:25,Viasat History CEE,VW02733,keep,0,0.0,40.47,38.23,Keep 'VW02733' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness 40.5/100.
2018-07-18,2018-07-18 06:46:55,Viasat History CEE,VW02730,keep,0,0.14,38.09,38.23,Keep 'VW02730' as scheduled at 06:46. Current placement is acceptable. Estimated effectiveness 38.1/100.
2018-07-18,2018-07-18 06:47:25,Viasat History CEE,VW02717,keep,0,0.0,41.53,38.23,Keep 'VW02717' as scheduled at 06:47. Current placement is acceptable. Estimated effectiveness 41.5/100.
2018-07-18,2018-07-18 06:47:55,Viasat History CEE,IWHIS134,keep,0,0.4,37.83,38.23,Keep 'IWHIS134' as scheduled at 06:47. Current placement is acceptable. Estimated effectiveness 37.8/100.
2018-07-18,2018-07-18 06:48:05,Viasat History CEE,VWOPIN,keep,0,2.37,32.87,35.24,Keep 'VWOPIN' as scheduled at 06:48. Current placement is acceptable. Estimated effectiveness 32.9/100.
2018-07-18,2018-07-18 07:04:33,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 07:04. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-18,2018-07-18 07:04:33,Viasat History CEE,VWOPOUT,keep,0,0.0,35.29,33.64,Keep 'VWOPOUT' as scheduled at 07:04. Current placement is acceptable. Estimated effectiveness 35.3/100.
2018-07-18,2018-07-18 07:04:34,Viasat History CEE,VW02684,keep,0,0.26,28.09,28.35,Keep 'VW02684' as scheduled at 07:04. Current placement is acceptable. Estimated effectiveness 28.1/100.
2018-07-18,2018-07-18 07:04:49,Viasat History CEE,VW02733,keep,0,1.75,34.88,36.63,Keep 'VW02733' as scheduled at 07:04. Current placement is acceptable. Estimated effectiveness 34.9/100.
2018-07-18,2018-07-18 07:05:19,Viasat History CEE,VW02730,keep,0,0.0,37.46,36.63,Keep 'VW02730' as scheduled at 07:05. Current placement is acceptable. Estimated effectiveness 37.5/100.
2018-07-18,2018-07-18 07:05:49,Viasat History CEE,VW02717,keep,0,4.63,32.0,36.63,Keep 'VW02717' as scheduled at 07:05. Current placement is acceptable. Estimated effectiveness 32.0/100.
2018-07-18,2018-07-18 07:06:19,Viasat History CEE,IWHIS134,keep,0,6.26,30.37,36.63,Keep 'IWHIS134' as scheduled at 07:06. Current placement is acceptable. Estimated effectiveness 30.4/100.
2018-07-18,2018-07-18 07:06:29,Viasat History CEE,VWOPIN,keep,0,0.0,35.74,33.64,Keep 'VWOPIN' as scheduled at 07:06. Current placement is acceptable. Estimated effectiveness 35.7/100.
2018-07-18,2018-07-18 07:22:21,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 07:22. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-18,2018-07-18 07:22:21,Viasat History CEE,VWOPOUT,keep,0,3.49,28.55,32.04,Keep 'VWOPOUT' as scheduled at 07:22. Current placement is acceptable. Estimated effectiveness 28.6/100.
2018-07-18,2018-07-18 07:22:22,Viasat History CEE,VW02684,keep,0,0.0,27.62,26.75,Keep 'VW02684' as scheduled at 07:22. Current placement is acceptable. Estimated effectiveness 27.6/100.
2018-07-18,2018-07-18 07:22:37,Viasat History CEE,VW02733,keep,0,0.91,34.12,35.03,Keep 'VW02733' as scheduled at 07:22. Current placement is acceptable. Estimated effectiveness 34.1/100.
2018-07-18,2018-07-18 07:23:07,Viasat History CEE,VW02730,keep,0,3.0,32.03,35.03,Keep 'VW02730' as scheduled at 07:23. Current placement is acceptable. Estimated effectiveness 32.0/100.
2018-07-18,2018-07-18 07:23:37,Viasat History CEE,VW02717,move_to_early_prime,30,11.24,23.79,35.03,Move 'VW02717' from 07:23 to move to early prime (+30 min). Estimated uplift 11.2 points from 23.8 to 35.0.
2018-07-18,2018-07-18 07:24:07,Viasat History CEE,IWHIS134,keep,0,0.14,34.89,35.03,Keep 'IWHIS134' as scheduled at 07:24. Current placement is acceptable. Estimated effectiveness 34.9/100.
2018-07-18,2018-07-18 07:24:17,Viasat History CEE,VWOPIN,keep,0,0.22,31.82,32.04,Keep 'VWOPIN' as scheduled at 07:24. Current placement is acceptable. Estimated effectiveness 31.8/100.
2018-07-18,2018-07-18 08:00:48,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 08:00. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-18,2018-07-18 08:00:48,Viasat History CEE,VWOPOUT,move_to_early_prime,30,8.69,21.75,30.44,Move 'VWOPOUT' from 08:00 to move to early prime (+30 min). Estimated uplift 8.7 points from 21.8 to 30.4.
2018-07-18,2018-07-18 08:00:49,Viasat History CEE,VW02684,keep,0,0.0,27.92,25.15,Keep 'VW02684' as scheduled at 08:00. Current placement is acceptable. Estimated effectiveness 27.9/100.
2018-07-18,2018-07-18 08:01:04,Viasat History CEE,VW02733,keep,0,4.53,28.9,33.43,Keep 'VW02733' as scheduled at 08:01. Current placement is acceptable. Estimated effectiveness 28.9/100.
2018-07-18,2018-07-18 08:01:34,Viasat History CEE,VW02730,keep,0,3.22,30.21,33.43,Keep 'VW02730' as scheduled at 08:01. Current placement is acceptable. Estimated effectiveness 30.2/100.
2018-07-18,2018-07-18 08:02:04,Viasat History CEE,VW02717,move_to_early_prime,30,8.08,25.35,33.43,Move 'VW02717' from 08:02 to move to early prime (+30 min). Estimated uplift 8.1 points from 25.4 to 33.4.
2018-07-18,2018-07-18 08:02:34,Viasat History CEE,IWHIS134,keep,0,5.5,27.93,33.43,Keep 'IWHIS134' as scheduled at 08:02. Current placement is acceptable. Estimated effectiveness 27.9/100.
2018-07-18,2018-07-18 08:02:44,Viasat History CEE,VWOPIN,keep,0,4.01,26.43,30.44,Keep 'VWOPIN' as scheduled at 08:02. Current placement is acceptable. Estimated effectiveness 26.4/100.
2018-07-18,2018-07-18 08:18:53,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 08:18. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-18,2018-07-18 08:18:53,Viasat History CEE,VWOPOUT,keep,0,4.28,24.56,28.84,Keep 'VWOPOUT' as scheduled at 08:18. Current placement is acceptable. Estimated effectiveness 24.6/100.
2018-07-18,2018-07-18 08:18:54,Viasat History CEE,VW02684,move_to_early_prime,30,9.7,13.85,23.55,Move 'VW02684' from 08:18 to move to early prime (+30 min). Estimated uplift 9.7 points from 13.8 to 23.6.
2018-07-18,2018-07-18 08:19:09,Viasat History CEE,VW02733,keep,0,1.38,30.45,31.83,Keep 'VW02733' as scheduled at 08:19. Current placement is acceptable. Estimated effectiveness 30.4/100.
2018-07-18,2018-07-18 08:19:39,Viasat History CEE,VW02730,keep,0,2.97,28.86,31.83,Keep 'VW02730' as scheduled at 08:19. Current placement is acceptable. Estimated effectiveness 28.9/100.
2018-07-18,2018-07-18 08:20:09,Viasat History CEE,VW02717,keep,0,7.9,23.93,31.83,Keep 'VW02717' as scheduled at 08:20. Current placement is acceptable. Estimated effectiveness 23.9/100.
2018-07-18,2018-07-18 08:20:39,Viasat History CEE,IWHIS134,keep,0,3.94,27.89,31.83,Keep 'IWHIS134' as scheduled at 08:20. Current placement is acceptable. Estimated effectiveness 27.9/100.
2018-07-18,2018-07-18 08:20:49,Viasat History CEE,VWOPIN,keep,0,5.43,23.41,28.84,Keep 'VWOPIN' as scheduled at 08:20. Current placement is acceptable. Estimated effectiveness 23.4/100.
2018-07-18,2018-07-18 08:36:56,Viasat History CEE,nan,keep,0,,,,Keep 'nan' as scheduled at 08:36. Current placement is acceptable. Estimated effectiveness nan/100.
2018-07-18,2018-07-18 08:36:56,Viasat History CEE,VWOPOUT,keep,0,0.0,27.44,27.24,Keep 'VWOPOUT' as scheduled at 08:36. Current placement is acceptable. Estimated effectiveness 27.4/100.
2018-07-18,2018-07-18 08:36:57,Viasat History CEE,VW02684,keep,0,5.03,16.92,21.95,Keep 'VW02684' as scheduled at 08:36. Current placement is acceptable. Estimated effectiveness 16.9/100.
2018-07-18,2018-07-18 08:37:12,Viasat History CEE,VW02733,move_to_early_prime,30,10.48,19.75,30.23,Move 'VW02733' from 08:37 to move to early prime (+30 min). Estimated uplift 10.5 points from 19.8 to 30.2.
2018-07-18,2018-07-18 08:37:42,Viasat History CEE,VW02730,move_to_early_prime,30,8.24,21.99,30.23,Move 'VW02730' from 08:37 to move to early prime (+30 min). Estimated uplift 8.2 points from 22.0 to 30.2.
2018-07-18,2018-07-18 08:38:12,Viasat History CEE,VW02717,keep,0,5.47,24.76,30.23,Keep 'VW02717' as scheduled at 08:38. Current placement is acceptable. Estimated effectiveness 24.8/100.
